name,ratings,num_ratings,processor,ram,os,storage,display,price,org_price
Apple MacBook Air Core i3 10th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MWTJ2HN/A,4.8,268 Ratings & 42 Reviews,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,Mac OS Operating System,256 GB SSD,33.78 cm (13.3 inch) Display,"₹83,990","₹92,990"
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,4.6,"3,834 Ratings & 508 Reviews",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"₹59,990","₹77,890"
HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,4.4,133 Ratings & 7 Reviews,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,"₹52,490","₹63,179"
Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,4.3,298 Ratings & 54 Reviews,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,"₹71,990","₹1,15,390"
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Gefor...,4.2,"3,162 Ratings & 455 Reviews",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"₹52,990","₹56,144"
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,4.5,650 Ratings & 117 Reviews,Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹54,990","₹94,990"
Acer Aspire 7 Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,4.2,195 Ratings & 28 Reviews,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹54,990","₹79,999"
Dell Vostro Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,3.5,4 Ratings & 2 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,"₹34,690","₹38,703"
HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR1008TU Thin and Light Laptop,4.4,61 Ratings & 11 Reviews,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹46,980","₹52,742"
Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,4,431 Ratings & 62 Reviews,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"₹42,990","₹66,190"
Asus Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X413JA-EK268T Thin and Light Laptop,3.9,9 Ratings & 2 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹36,990","₹40,871"
Apple MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MXK32HN/A,4.7,78 Ratings & 18 Reviews,Intel Core i5 Processor (8th Gen),8 GB LPDDR3 RAM,Mac OS Operating System,256 GB SSD,33.02 cm (13 inch) Display,"₹1,18,990","₹1,22,990"
Asus ROG Strix G15 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,4.6,45 Ratings & 9 Reviews,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,"₹92,990","₹1,19,990"
Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IIL Thin and Light Lapto...,4.3,20 Ratings & 4 Reviews,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"₹31,990","₹42,490"
Asus ROG Strix G15 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GT...,4.5,11 Ratings & 2 Reviews,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹82,990","₹1,16,990"
Asus TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/...,4.7,91 Ratings & 21 Reviews,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,43.94 cm (17.3 inch) Display,"₹67,990","₹90,990"
Acer Aspire 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) A514-53-59U1 Thin and Light Laptop,4.3,288 Ratings & 52 Reviews,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹47,990","₹59,999"
Lenovo Ideapad Slim APU Dual Core A4 A4-9120E - (4 GB/64 GB EMMC Storage/Windows 10 Home) 1-14AST-05 T...,3.5,826 Ratings & 120 Reviews,AMD APU Dual Core A4 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,,35.56 cm (14 inch) Display,"₹20,990","₹21,325"
